湖北酒店频道,#genre#
江西卫视HD,http://58.19.38.162:9901/tsfile/live/1029_1.m3u8?key=tvbox6_com&playlive=1&authid=0
贵州卫视HD,http://58.19.38.162:9901/tsfile/live/1030_1.m3u8?key=tvbox6_com&playlive=1&authid=0
金鹰卡通,http://58.19.38.162:9901/tsfile/live/1031_1.m3u8?key=tvbox6_com&playlive=1&authid=0
金鹰纪实HD,http://58.19.38.162:9901/tsfile/live/1032_1.m3u8?key=tvbox6_com&playlive=1&authid=0
快乐垂钓HD,http://58.19.38.162:9901/tsfile/live/1033_1.m3u8?key=tvbox6_com&playlive=1&authid=0
风云足球HD,http://58.19.38.162:9901/tsfile/live/1034_1.m3u8?key=tvbox6_com&playlive=1&authid=0
第一剧场HD,http://58.19.38.162:9901/tsfile/live/1035_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CHC家庭影院HD,http://58.19.38.162:9901/tsfile/live/1036_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CHC动作电影HD,http://58.19.38.162:9901/tsfile/live/1037_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CHC高清电影HD,http://58.19.38.162:9901/tsfile/live/1038_1.m3u8?key=tvbox6_com&playlive=1&authid=0
公众号[看电视呗],https://gitee.com/tv2785/tvbox/raw/master/gg.mp4
